,model_id,mean reward,std
DriveDQN_simple_fusion2_gru_16f_Falseres,2100.0,858.4952978056226,30.595611285267356
DriveDQN_simple_fusion2_lstm_16f_Falseres,1900.0,856.957434717444,92.0946315444137
DriveDQN_simple_fusion2_gru_8f_Falseres,1900.0,853.1620358436819,103.08410765048872
DriveDQN_simple_fusion2_gru_8f_Trueres,2700.0,838.5262400037967,83.87953701741242
DriveDQN_simple_fusion2_gru_16f_Trueres,2700.0,827.2727272727079,18.18181818181944
DriveDQN_simple_fusion2_lstm_16f_Trueres,2900.0,811.9540578993152,86.13443269757093
DriveDQN_cnn_1f_Falseres,None,796.0436466483426,101.6066724753302
DriveDQN_simple_fusion2_lstm_8f_Falseres,2000.0,775.5723338973046,192.7974761732424
DriveDQN_simple_fusion2_lstm_8f_Trueres,2900.0,774.4481564333295,100.37931322905276
DriveDQN_simple_fusion2_gru_4f_Falseres,2000.0,720.0430120191149,125.22028831608004
DriveDQN_simple_fusion2_lstm_4f_Falseres,2300.0,708.029285192133,160.38670503659114
