Wall time,Step,Value
1671297849.9603102,0,-13.793103218078613
1671297862.479813,1,-52.380950927734375
1671297874.9088142,2,-68.05111694335938
1671297887.1174393,3,-28.315412521362305
1671297899.418908,4,-24.731182098388672
1671297911.88528,5,-16.66666603088379
1671297924.600816,6,-50.0
1671297937.3049915,7,-63.087249755859375
1671297949.8792307,8,-32.47588348388672
1671297962.6619208,9,-55.128204345703125
1671297975.0322475,10,-31.81818199157715
1671297987.4725976,11,-53.02013397216797
1671297999.9557478,12,-53.0685920715332
1671298012.81535,13,-28.571428298950195
1671298025.7370653,14,-58.208953857421875
1671298038.2661452,15,-35.114501953125
1671298050.68995,16,-41.17647171020508
1671298063.6104407,17,-37.704917907714844
1671298076.1924696,18,-40.78947448730469
1671298089.2817874,19,-54.39739227294922
1671298101.6291013,20,-50.0
1671298114.4753335,21,-71.7314453125
1671298127.0678837,22,-4.166666507720947
1671298139.8444653,23,-26.35658836364746
1671298152.452633,24,-33.33333206176758
1671298203.6485827,25,-16.94352149963379
1671298216.9015944,26,-25.80645179748535
1671298229.9419334,27,-34.25605392456055
1671298242.854953,28,-49.8327751159668
1671298255.8820584,29,-23.87543296813965
1671298268.841974,30,-69.0721664428711
1671298281.7575169,31,-33.53474426269531
1671298294.7514203,32,-55.41401290893555
1671298307.5233378,33,-31.81818199157715
1671298320.4570425,34,-80.95237731933594
1671298333.2991683,35,-25.423728942871094
1671298346.3909497,36,-26.829267501831055
1671298359.4578197,37,-38.566551208496094
1671298372.1595097,38,-58.49056625366211
1671298385.4497359,39,-8.227848052978516
1671298398.4759607,40,-58.620689392089844
1671298411.529361,41,-48.979591369628906
1671298424.512502,42,-30.069929122924805
1671298437.948343,43,-34.64052200317383
1671298451.1357737,44,-81.9277114868164
1671298464.2080534,45,-65.27777862548828
1671298477.4273632,46,-37.95620346069336
1671298491.0310588,47,-38.14432907104492
1671298504.2046242,48,-60.13288879394531
1671298517.200623,49,-50.943397521972656
1671298573.1721861,50,-23.076923370361328
1671298586.824886,51,-23.636363983154297
1671298599.8566325,52,-63.099632263183594
1671298613.034334,53,-37.03703689575195
1671298626.0378625,54,-60.52631759643555
1671298639.7168412,55,-36.66666793823242
1671298653.3291166,56,-32.69230651855469
1671298666.7717931,57,2.1897809505462646
1671298680.5463908,58,-56.37583923339844
1671298693.8999014,59,-72.30769348144531
1671298707.038792,60,-52.05479431152344
1671298720.2813106,61,-13.66906452178955
1671298732.9408064,62,-55.882354736328125
1671298746.2196069,63,-23.076923370361328
1671298759.5999196,64,-33.56643295288086
1671298773.4177122,65,14.285714149475098
1671298786.1083333,66,-22.4489803314209
1671298799.2937546,67,-26.3157901763916
1671298812.5885386,68,-22.22222137451172
1671298825.8978326,69,-32.9073486328125
1671298838.8931415,70,-69.59459686279297
1671298852.1049209,71,-41.979522705078125
1671298865.5566537,72,-57.446807861328125
1671298879.2106798,73,15.131579399108887
1671298892.385343,74,-6.810035705566406
1671298950.0553122,75,-28.571428298950195
1671298963.9266503,76,-24.590164184570312
1671298977.227072,77,-13.357400894165039
1671298990.4366245,78,-5.92334508895874
1671299004.0036054,79,-46.03174591064453
1671299017.4727004,80,-43.33333206176758
1671299030.6416304,81,-45.20547866821289
1671299043.9590263,82,-29.93630599975586
1671299057.0035315,83,-66.78966522216797
1671299070.3129823,84,-13.357400894165039
1671299083.6380985,85,-36.17021179199219
1671299097.22968,86,-36.93693542480469
1671299110.180116,87,-34.02777862548828
1671299123.5189428,88,-43.82022476196289
1671299136.9685655,89,-34.25605392456055
1671299149.8128479,90,-57.74647903442383
1671299163.4845667,91,-53.64238357543945
1671299176.663098,92,-56.08108139038086
1671299190.7452397,93,-68.94409942626953
1671299203.972653,94,-20.689655303955078
1671299217.1780643,95,-38.775508880615234
1671299230.5432374,96,-7.8947367668151855
1671299243.9266064,97,-31.034482955932617
1671299257.2063847,98,-35.06493377685547
1671299270.4161303,99,-51.768489837646484
1671299329.6024828,100,-44.606414794921875
1671299343.6051016,101,-36.90851593017578
1671299357.4270298,102,-18.518518447875977
1671299370.680341,103,-26.5175724029541
1671299383.674252,104,-75.35211181640625
1671299397.394108,105,-63.190185546875
1671299410.848172,106,-50.0
1671299423.8237474,107,-49.806949615478516
1671299437.1318932,108,-35.275081634521484
1671299449.963971,109,-76.5625
1671299463.9720955,110,-16.38796043395996
1671299477.5533173,111,-24.39862632751465
1671299490.3380256,112,-63.235294342041016
1671299503.744575,113,-38.709678649902344
1671299517.4011722,114,-35.48387145996094
1671299530.590905,115,-33.33333206176758
1671299543.7738922,116,-45.25547409057617
1671299557.2884495,117,-62.328765869140625
1671299571.3112087,118,-45.6869010925293
1671299584.6476352,119,-12.087912559509277
1671299597.7462418,120,-14.634146690368652
1671299611.494731,121,-15.887850761413574
1671299625.07932,122,-57.18654251098633
1671299638.4428813,123,-24.187725067138672
1671299651.8312092,124,-10.958904266357422
1671299704.6686594,125,-35.60606002807617
1671299718.9528904,126,-54.80226135253906
1671299732.6667526,127,-18.644067764282227
1671299745.8779902,128,-16.129032135009766
1671299759.1414287,129,-54.8872184753418
1671299772.5592642,130,-29.530200958251953
1671299785.763257,131,-27.797834396362305
1671299799.3555255,132,-36.24161148071289
1671299813.008995,133,-57.65472412109375
1671299826.6054342,134,-14.012739181518555
1671299840.1051366,135,-19.41391944885254
1671299853.7186427,136,-42.85714340209961
1671299867.1912098,137,-40.35087585449219
1671299880.5871272,138,-19.580419540405273
1671299894.244689,139,-39.92932891845703
1671299907.4259226,140,-47.735191345214844
1671299920.7430453,141,-30.46357536315918
1671299934.018555,142,-26.3157901763916
1671299947.6647305,143,-30.313589096069336
1671299961.0565732,144,-50.92024612426758
1671299974.3848965,145,-28.32764434814453
1671299987.9635315,146,-30.693069458007812
1671300001.4628682,147,-57.69230651855469
1671300014.8044324,148,-67.74193572998047
1671300028.5043876,149,-55.9748420715332
1671300088.274342,150,-45.61933517456055
1671300102.3893595,151,-56.0439567565918
1671300115.824478,152,-65.18987274169922
1671300128.887779,153,-68.05111694335938
1671300142.7679324,154,-20.127796173095703
1671300156.5672448,155,-62.328765869140625
1671300169.9777758,156,-8.450704574584961
1671300183.6357915,157,-44.26229476928711
1671300197.0376089,158,-46.04316711425781
1671300210.285208,159,-26.739927291870117
1671300223.8656514,160,-49.01960754394531
1671300236.9852993,161,4.166666507720947
1671300250.4228644,162,-53.57143020629883
1671300264.4376519,163,-34.57944107055664
1671300278.204964,164,-11.475409507751465
1671300291.7295356,165,-15.54054069519043
1671300305.1969888,166,19.133573532104492
1671300318.9573712,167,-52.531646728515625
1671300332.5093482,168,-46.708465576171875
1671300345.3650157,169,-33.56643295288086
1671300358.8999705,170,-37.269371032714844
1671300372.5802267,171,31.868131637573242
1671300385.639174,172,28.09917449951172
1671300398.719473,173,-69.79866027832031
1671300412.1292899,174,-32.47588348388672
1671300472.1776507,175,-42.08494186401367
1671300486.382016,176,-29.765886306762695
1671300499.5080543,177,-21.146953582763672
1671300512.7507806,178,-42.85714340209961
1671300526.3384063,179,61.04869079589844
1671300539.9737422,180,-46.5408821105957
1671300553.1063995,181,-49.09090805053711
1671300566.76061,182,-44.92753601074219
1671300579.6210299,183,-17.030567169189453
1671300592.8404818,184,-35.15358352661133
1671300605.7038233,185,-45.05494689941406
1671300618.850214,186,22.377622604370117
1671300632.050059,187,-56.0439567565918
1671300645.2390337,188,-25.266904830932617
1671300658.869143,189,-36.046512603759766
1671300672.0759363,190,-28.571428298950195
1671300685.5089076,191,-31.50684928894043
1671300698.858146,192,-70.90908813476562
1671300712.3454297,193,-21.70818519592285
1671300725.5225172,194,-30.693069458007812
1671300738.8154862,195,-32.72171401977539
1671300752.572201,196,-61.403507232666016
1671300766.016078,197,-40.6528205871582
1671300779.2248049,198,-24.39862632751465
1671300792.7230525,199,-41.605838775634766
1671300838.6979072,200,-63.88888931274414
1671300852.4837503,201,-25.925926208496094
1671300866.137417,202,-33.070865631103516
1671300879.585075,203,-45.121952056884766
1671300893.1745694,204,-58.76288604736328
1671300906.6289792,205,-45.945945739746094
1671300919.9858499,206,-59.044368743896484
1671300933.5067127,207,-14.089346885681152
1671300946.5738091,208,-30.795846939086914
1671300959.9487286,209,-54.09836196899414
1671300973.7360716,210,-32.384342193603516
1671300987.2585928,211,25.850339889526367
1671301000.592932,212,-38.62815856933594
1671301014.0210693,213,-16.058393478393555
1671301027.6502569,214,-26.045015335083008
1671301041.1448436,215,-53.4050178527832
1671301054.5056415,216,-69.38775634765625
1671301067.9470563,217,-27.797834396362305
1671301081.8559577,218,-32.011329650878906
1671301095.175166,219,-72.78911590576172
1671301108.662427,220,-59.18367385864258
1671301122.4274328,221,-63.45515060424805
1671301136.1251888,222,-47.95539093017578
1671301149.5285168,223,-18.08873748779297
1671301163.4664254,224,16.438356399536133
1671301223.8294306,225,50.501670837402344
1671301237.2844815,226,-49.612403869628906
1671301250.6414707,227,-13.793103218078613
1671301263.807439,228,-64.15770721435547
1671301277.026887,229,-53.736656188964844
1671301290.0635035,230,-62.121212005615234
1671301303.7007422,231,-44.281524658203125
1671301317.2192814,232,-30.23255729675293
1671301330.3139174,233,-36.24161148071289
1671301344.472889,234,-29.26045036315918
1671301357.844873,235,-54.54545593261719
1671301371.5360737,236,-62.6436767578125
1671301385.4815152,237,-41.17647171020508
1671301399.3275564,238,-39.59731674194336
1671301413.055336,239,-40.594058990478516
1671301426.37655,240,-32.075469970703125
1671301439.1037564,241,-34.693878173828125
1671301452.6126425,242,-41.558441162109375
1671301465.896602,243,-46.12794494628906
1671301479.0640152,244,-32.624114990234375
1671301492.599055,245,-31.899641036987305
1671301506.5577195,246,-50.0
1671301519.3953586,247,-48.81889724731445
1671301532.659161,248,-41.71779251098633
1671301545.919084,249,-25.53191566467285
1671301606.5481243,250,32.295719146728516
1671301620.5829046,251,-48.27586364746094
1671301633.65623,252,-20.28985595703125
1671301646.824379,253,-52.02952194213867
1671301660.259367,254,-19.298246383666992
1671301673.7615283,255,-71.7314453125
1671301687.2421834,256,-25.566343307495117
1671301700.5027332,257,-39.759037017822266
1671301714.1146166,258,-20.28985595703125
1671301727.6267376,259,-9.774435997009277
1671301741.1785774,260,27.329193115234375
1671301754.6910722,261,-27.536231994628906
1671301768.3740478,262,-4.593639373779297
1671301781.8464394,263,17.85714340209961
1671301794.9257014,264,-56.5217399597168
1671301807.9544601,265,-28.030303955078125
1671301821.9847596,266,-29.032258987426758
1671301835.910966,267,-64.40129089355469
1671301849.0810528,268,-16.66666603088379
1671301862.6012247,269,-15.254237174987793
1671301876.5998888,270,-38.08049392700195
1671301889.752134,271,-59.70695877075195
1671301903.1259065,272,-16.08391571044922
1671301915.944038,273,-14.0625
1671301929.822834,274,-48.79518127441406
1671301982.5942092,275,-20.962200164794922
1671301996.51107,276,-32.384342193603516
1671302009.6023617,277,-24.528301239013672
1671302023.297914,278,-23.61111068725586
1671302037.2033694,279,-45.85987091064453
1671302050.873495,280,-44.25086975097656
1671302064.484927,281,-13.19444465637207
1671302077.8963215,282,-22.53521156311035
1671302091.0001361,283,-53.736656188964844
1671302104.7840762,284,-52.554744720458984
1671302117.9494298,285,-48.71794891357422
1671302131.2456284,286,36.71875
1671302144.6576602,287,-44.98381805419922
1671302158.4314516,288,-41.53845977783203
1671302172.1480958,289,-51.14006423950195
1671302185.5960917,290,-2.621722936630249
1671302199.2001016,291,-58.86075973510742
1671302212.4963686,292,-31.159420013427734
1671302225.6603,293,-60.912052154541016
1671302238.8575685,294,-6.976744174957275
1671302252.3236907,295,-60.85409164428711
1671302265.7374756,296,-68.15286254882812
1671302278.986468,297,-21.23287582397461
1671302292.1276593,298,-17.85714340209961
1671302305.1193018,299,-33.5793342590332
1671302363.7156382,300,-33.797908782958984
1671302377.6253302,301,-26.3157901763916
1671302390.8137898,302,-39.50177764892578
1671302404.3571763,303,-16.058393478393555
1671302418.1503649,304,-17.80821990966797
1671302431.6846302,305,-35.74297332763672
1671302444.7091146,306,-36.61971664428711
1671302458.2329805,307,-69.49152374267578
1671302471.8899715,308,-1.1406843662261963
1671302485.3032212,309,-67.85713958740234
1671302498.869124,310,-37.08609390258789
1671302512.3544211,311,-31.27147674560547
1671302526.1487777,312,-15.824915885925293
1671302539.7098358,313,-40.97222137451172
1671302552.9820457,314,9.54063606262207
1671302566.0746388,315,-21.259841918945312
1671302579.5002491,316,-50.53003692626953
1671302592.709826,317,-33.33333206176758
