Wall time,Step,Value
1671194386.1123188,0,-29.530200958251953
1671194459.464737,1,-20.689655303955078
1671194538.9591267,2,-43.39622497558594
1671194617.6285102,3,-19.41391944885254
1671194701.4714658,4,-9.090909004211426
1671194784.3298714,5,-33.54430389404297
1671194867.670279,6,-25.925926208496094
1671194953.9327016,7,-39.297122955322266
1671195037.7341125,8,19.533527374267578
1671195120.0115159,9,-59.5959587097168
1671195201.7309172,10,-57.446807861328125
1671195288.8338602,11,-38.709678649902344
1671195371.2453005,12,-13.357400894165039
1671195456.939721,13,-39.50177764892578
1671195541.8401372,14,-62.068965911865234
1671195625.8345485,15,-38.31168746948242
1671195710.380962,16,-37.06293869018555
1671195795.5783796,17,-8.474575996398926
1671195879.6207922,18,-46.4882926940918
1671195966.1002154,19,-35.275081634521484
1671196049.1716135,20,-38.931297302246094
1671196132.921016,21,-46.37223815917969
1671196218.2064483,22,-28.81355857849121
1671196305.3658679,23,-36.78160858154297
1671196389.7792716,24,-14.893616676330566
1671196642.8409994,25,-20.577617645263672
1671196728.2324102,26,-75.86206817626953
1671196812.3373237,27,-39.28571319580078
1671196897.1642432,28,-41.74757385253906
1671196982.1061633,29,-48.6301383972168
1671197066.5755684,30,-12.133891105651855
1671197151.0539744,31,-19.191919326782227
1671197237.7653902,32,-30.513595581054688
1671197324.7413208,33,-34.16927719116211
1671197409.8417287,34,-29.078014373779297
1671197497.2946591,35,-23.076923370361328
1671197583.2150724,36,-35.71428680419922
1671197668.3024814,37,-33.85213851928711
1671197751.6233945,38,-36.90851593017578
1671197836.0387995,39,-38.84892272949219
1671197924.147244,40,-33.09859085083008
1671198009.243652,41,-14.965986251831055
1671198093.0310535,42,-57.51633834838867
1671198177.760461,43,-32.47588348388672
1671198264.5098782,44,-58.94428253173828
1671198350.8752918,45,-18.75
1671198437.3752155,46,28.30188751220703
1671198526.3516421,47,-40.140846252441406
1671198612.441567,48,-18.149465560913086
1671198699.2684996,49,-52.978057861328125
1671198967.3942983,50,-61.80555725097656
1671199051.8677194,51,-55.27156448364258
1671199135.739107,52,-21.23287582397461
1671199219.1215055,53,-0.9900990128517151
1671199304.2529163,54,-34.30656814575195
1671199389.4703236,55,-47.88273620605469
1671199474.4397326,56,-28.571428298950195
1671199560.242145,57,-28.104576110839844
1671199645.2705538,58,-26.7515926361084
1671199729.9189582,59,-31.972789764404297
1671199814.0533624,60,9.559020242022598e-14
1671199899.882775,61,-74.6031723022461
1671199985.8431866,62,-38.88888931274414
1671200072.079601,63,-39.18918991088867
1671200158.2520149,64,-26.045015335083008
1671200245.1564302,65,44.87632369995117
1671200327.7138278,66,-35.15358352661133
1671200414.1217563,67,-29.104476928710938
1671200502.619695,68,-31.74061393737793
1671200587.2821014,69,-36.25497817993164
1671200673.9845173,70,-30.693069458007812
1671200760.706446,71,-25.795053482055664
1671200857.6609375,72,-19.614147186279297
1671200944.442355,73,-57.51633834838867
1671201031.4122853,74,-12.698412895202637
1671201261.528902,75,-15.254237174987793
1671201349.7153256,76,-51.95195007324219
1671201435.953739,77,-46.12794494628906
1671201522.0107138,78,-28.571428298950195
1671201614.3932788,79,-27.868852615356445
1671201700.7116928,80,-30.069929122924805
1671201787.6641102,81,-42.24924087524414
1671201875.5975308,82,-65.3979263305664
1671201961.3429446,83,-72.69624328613281
1671202049.0569117,84,30.434782028198242
1671202138.3609142,85,-49.49494934082031
1671202233.5709174,86,-19.580419540405273
1671202322.5503805,87,-42.94294357299805
1671202411.4303217,88,-55.01729965209961
1671202500.912772,89,-46.4882926940918
1671202589.919897,90,-34.85342025756836
1671202677.6843174,91,-1.9607843160629272
1671202764.849737,92,-16.38796043395996
1671202850.5836608,93,-26.605504989624023
1671202938.3200817,94,-56.5217399597168
1671203024.1554937,95,-56.3636360168457
1671203111.4804301,96,-18.518518447875977
1671203196.3088357,97,-62.96296310424805
1671203281.9222474,98,-54.69255828857422
1671203367.4836586,99,-23.344947814941406
1671203553.2260637,100,-23.076923370361328
1671203639.3444772,101,-46.20252990722656
1671203725.3458896,102,-63.099632263183594
1671203813.7903144,103,-46.4882926940918
1671203899.2717237,104,-20.577617645263672
1671203987.59366,105,-64.28571319580078
1671204074.094076,106,-27.586206436157227
1671204159.4684856,107,-13.183279991149902
1671204246.811905,108,-23.076923370361328
1671204334.4503264,109,-44.44444274902344
1671204422.5677485,110,-0.9287925958633423
1671204510.113169,111,-43.5215950012207
1671204598.646593,112,-72.97297668457031
1671204688.071023,113,-30.817609786987305
1671204773.8634348,114,-28.30188751220703
1671204861.0118532,115,-14.179104804992676
1671204949.5872777,116,-48.05194854736328
1671205036.9466968,117,-73.24414825439453
1671205124.5161185,118,-60.7843132019043
1671205210.4855301,119,-53.57143020629883
1671205297.4709492,120,-62.068965911865234
1671205385.5513704,121,-55.17241287231445
1671205472.1322992,122,-18.566774368286133
1671205559.5017178,123,-0.35587188601493835
1671205645.5171316,124,-55.55555725097656
1671205922.951462,125,-29.29292869567871
1671206011.4878879,126,-36.7088623046875
1671206100.3233132,127,-48.22006607055664
1671206186.979729,128,-46.36015319824219
1671206273.708145,129,-49.806949615478516
1671206361.2155657,130,-20.529800415039062
1671206448.3289855,131,-25.170068740844727
1671206536.6294084,132,-10.543130874633789
1671206623.6528256,133,-23.387096405029297
1671206711.9032493,134,34.0206184387207
1671206801.4466789,135,-21.875
1671206888.2296095,136,-35.25179672241211
1671206976.0570304,137,-21.933086395263672
1671207063.3054705,138,-28.82562255859375
1671207148.9538827,139,-18.91891860961914
1671207237.3433075,140,37.323944091796875
1671207326.2567346,141,-30.693069458007812
1671207414.7781591,142,-39.655174255371094
1671207502.8555806,143,-59.3220329284668
1671207588.7869935,144,-21.64179039001465
1671207675.4079223,145,-55.9748420715332
1671207763.361863,146,-45.945945739746094
1671207852.8652923,147,-20.863309860229492
1671207940.5327137,148,-59.247650146484375
1671208028.613137,149,-29.577465057373047
1671208302.904452,150,-17.85714340209961
1671208388.808864,151,2.7397260665893555
1671208474.840278,152,-19.41391944885254
1671208563.058702,153,-29.765886306762695
1671208650.5821211,154,-59.044368743896484
1671208738.069055,155,-27.272727966308594
1671208826.1224778,156,-13.043478012084961
1671208913.1548958,157,-16.66666603088379
1671209001.9043224,158,-24.0
1671209089.8657446,159,-27.08333396911621
1671209177.5641654,160,5.263157844543457
1671209265.4685867,161,-38.202247619628906
1671209352.2050037,162,-53.1772575378418
1671209439.9724243,163,-61.832061767578125
1671209527.429357,164,-20.28985595703125
1671209616.4127846,165,-61.53845977783203
1671209703.1832016,166,-23.076923370361328
1671209790.0526173,167,-53.90071105957031
1671209879.1750457,168,-56.810630798339844
1671209967.3009803,169,-36.746986389160156
1671210055.764915,170,-40.52044677734375
1671210145.024343,171,-28.82562255859375
1671210235.750779,172,-56.69291305541992
1671210326.0842125,173,-34.9315071105957
1671210414.519638,174,-36.55589294433594
1671210693.5209768,175,-68.8581314086914
1671210782.99392,176,-39.51612854003906
1671210872.6033487,177,-21.985815048217773
1671210963.5157857,178,-35.69131851196289
1671211054.5672228,179,-50.354610443115234
1671211144.0041685,180,-32.14285659790039
1671211234.4856021,181,-35.48387145996094
1671211323.9700322,182,-34.30656814575195
1671211412.900458,183,-15.384614944458008
1671211501.5738826,184,-35.3612174987793
1671211591.7538264,185,-39.92932891845703
1671211680.027251,186,-25.490196228027344
1671211767.6826706,187,-41.17647171020508
1671211858.481108,188,-44.62540817260742
1671211948.2540498,189,-30.0
1671212035.8574696,190,-39.297122955322266
1671212125.0448985,191,-5.405405521392822
1671212215.7513335,192,-30.303030014038086
1671212306.547769,193,-18.032787322998047
1671212396.3281984,194,-5.660377502441406
1671212485.6756282,195,-1.2345678806304932
1671212573.8180516,196,-16.08391571044922
1671212662.2314758,197,-46.2365608215332
1671212751.5169032,198,-34.85342025756836
1671212842.5713418,199,-25.0
1671213074.8124566,200,-27.899686813354492
1671213164.3343995,201,6.617647171020508
1671213254.0408301,202,-81.5950927734375
1671213342.4522536,203,-29.577465057373047
1671213431.8466825,204,-36.24161148071289
1671213520.8756232,205,-48.979591369628906
1671213609.003047,206,-51.72413635253906
1671213697.0414674,207,-43.70861053466797
1671213783.7118845,208,-30.313589096069336
1671213870.9333026,209,-35.275081634521484
1671213959.023726,210,-21.768707275390625
1671214048.4511552,211,-65.6357421875
1671214135.4015727,212,-24.187725067138672
1671214224.5590003,213,-60.71428680419922
1671214311.1834161,214,-27.392738342285156
1671214400.341844,215,-39.49044418334961
1671214487.7392638,216,-26.070039749145508
1671214576.0346885,217,-30.795846939086914
1671214665.3311162,218,-36.39575958251953
1671214751.33353,219,-28.030303955078125
1671214843.150969,220,-17.9810733795166
1671214931.8403955,221,-30.069929122924805
1671215020.2278192,222,-29.487178802490234
1671215109.2952473,223,-31.50684928894043
1671215196.1706638,224,-38.31168746948242
1671215442.2218454,225,-27.63157844543457
1671215530.0972672,226,-28.30188751220703
1671215618.3356907,227,-31.034482955932617
1671215709.4451287,228,-25.53191566467285
1671215797.057548,229,-27.203065872192383
1671215882.83196,230,-13.934426307678223
1671215968.6543725,231,-63.69636917114258
1671216056.0387924,232,-40.55944061279297
1671216143.844213,233,-45.8483772277832
1671216231.4036326,234,-17.602996826171875
1671216319.1280549,235,-22.53521156311035
1671216390.7243977,236,-114.89859008789062
1671216481.9951453,237,-60.0
1671216571.2332597,238,-49.367088317871094
1671216660.1893718,239,-59.55882263183594
1671216749.3194852,240,-41.74757385253906
1671216838.2825978,241,20.9150333404541
1671216924.1366725,242,-21.501707077026367
1671217011.20176,243,-66.44295501708984
1671217099.1748586,244,-4.593639373779297
1671217183.9679196,245,-50.38167953491211
1671217272.127022,246,-21.23287582397461
1671217360.504125,247,-28.32764434814453
1671217448.2732232,248,-46.42856979370117
1671217537.305336,249,-62.068965911865234
1671217816.597827,250,-21.630094528198242
1671217904.3339224,251,-39.79933166503906
1671217992.0395668,252,-37.08609390258789
1671218078.5696502,253,-61.403507232666016
1671218167.3317595,254,-54.8872184753418
1671218256.166896,255,-27.21518898010254
1671218345.3945208,256,-34.36293411254883
1671218434.2046309,257,-66.2921371459961
1671218522.4545953,258,-28.315412521362305
1671218612.639335,259,-15.625
1671218699.766049,260,-13.978494644165039
1671218791.7728024,261,-67.84565734863281
1671218879.2555196,262,-30.921052932739258
1671218969.7082624,263,-25.266904830932617
1671219060.3950057,264,-50.61728286743164
1671219151.14375,265,-20.529800415039062
1671219239.7334764,266,-74.5762710571289
1671219332.2062335,267,-59.8662223815918
1671219420.8189619,268,-28.104576110839844
1671219509.322687,269,-21.630094528198242
1671219600.9164386,270,-33.33333206176758
1671219691.1291776,271,-16.349809646606445
1671219781.5739195,272,-38.110748291015625
1671219872.122661,273,-35.06493377685547
1671219963.761925,274,-11.86440658569336
1671220247.6952524,275,-18.3006534576416
1671220336.9589872,276,-36.507938385009766
1671220425.3907099,277,20.401338577270508
1671220513.5744345,278,-16.33466148376465
1671220604.4720528,279,-66.77741241455078
1671220693.1906114,280,-59.40959548950195
1671220784.6022086,281,-32.43243408203125
1671220874.5157745,282,-29.93630599975586
1671220964.7418525,283,-21.501707077026367
1671221053.8404157,284,-51.55709457397461
1671221146.3949986,285,-55.35714340209961
1671221238.2470894,286,-18.08873748779297
1671221330.1746683,287,-37.321937561035156
1671221421.385244,288,19.047618865966797
1671221512.4278162,289,-22.82958221435547
1671221601.6653802,290,-22.81879234313965
1671221691.8409472,291,-36.32958984375
1671221782.0975165,292,-0.7092198729515076
1671221872.5070863,293,-32.9073486328125
1671221964.3046637,294,-40.625
1671222055.8012402,295,-37.90849685668945
1671222146.9678154,296,-18.08873748779297
1671222237.3633852,297,-35.15358352661133
1671222328.1519566,298,0.4016064405441284
1671222419.00604,299,-36.842105865478516
1671222706.798758,300,-23.566879272460938
1671222797.8632562,301,-31.50684928894043
1671222889.914763,302,-37.728939056396484
1671222980.3032598,303,-16.349809646606445
1671223073.3827732,304,48.9361686706543
1671223164.0962722,305,41.91419219970703
1671223253.6557643,306,2.3102309703826904
1671223345.3122678,307,-44.44444274902344
1671223435.2367642,308,-61.403507232666016
1671223527.52327,309,-59.501556396484375
1671223618.3497715,310,14.391143798828125
1671223709.0152695,311,-63.190185546875
1671223799.5547671,312,-37.90849685668945
1671223891.1482708,313,-0.34364262223243713
1671223980.6717625,314,-21.768707275390625
1671224070.483257,315,59.574466705322266
1671224160.484752,316,-25.081432342529297
1671224250.0602448,317,-53.271026611328125
1671224340.4437428,318,-35.59321975708008
1671224433.5722535,319,-69.79866027832031
1671224523.5747488,320,9.271523475646973
1671224611.7672334,321,-39.59731674194336
1671224700.788697,322,-58.33333206176758
1671224764.9650245,323,-121.1063461303711
1671224853.1224737,324,-66.86746978759766
1671225142.034948,325,-46.38069534301758
1671225232.6644096,326,-25.423728942871094
1671225322.4588685,327,1.214574933052063
1671225412.6288395,328,-59.8540153503418
1671225500.6812897,329,-24.092409133911133
1671225589.358741,330,-50.33112716674805
1671225679.4752011,331,-53.271026611328125
1671225770.240174,332,-24.901185989379883
1671225861.7396424,333,-60.2888069152832
1671225953.5631094,334,-32.65993118286133
1671226044.7375746,335,29.13907241821289
1671226136.437042,336,-60.5734748840332
1671226227.367505,337,-43.33333206176758
1671226316.946962,338,-37.74319076538086
1671226408.8439426,339,-4.0
1671226498.6954277,340,-67.2727279663086
1671226589.9648926,341,-34.9112434387207
1671226680.8253558,342,-44.82758712768555
1671226772.5948153,343,-36.7088623046875
1671226865.1512787,344,-64.91227722167969
1671226955.57373,345,-60.2888069152832
1671227048.4581947,346,-27.797834396362305
1671227139.9806516,347,-14.285714149475098
1671227231.75311,348,-24.731182098388672
1671227322.6625645,349,-33.797908782958984
1671227590.028902,350,-29.328622817993164
1671227681.5763607,351,-54.98392105102539
1671227772.4968154,352,-18.439716339111328
1671227863.6472697,353,-34.21052551269531
1671227955.4872458,354,-69.60486602783203
1671228047.7172217,355,-55.47945022583008
1671228141.4552004,356,-20.15209197998047
1671228236.1031852,357,-66.36085510253906
1671228329.4416513,358,-16.66666603088379
1671228419.7536154,359,-7.063197135925293
1671228510.409068,360,-27.586206436157227
1671228603.9095356,361,-32.86219024658203
1671228697.392004,362,-30.158729553222656
1671228788.8364604,363,-37.95620346069336
1671228878.084906,364,-37.5
1671228970.385368,365,-26.7515926361084
1671229062.7063408,366,-14.285714149475098
1671229153.9117968,367,-64.41281127929688
1671229248.4902706,368,-29.712459564208984
1671229342.461739,369,-19.230770111083984
1671229433.9501956,370,-29.577465057373047
1671229524.5511613,371,-54.385963439941406
1671229613.8266084,372,-36.02693557739258
1671229704.1290593,373,-41.74757385253906
1671229794.8050218,374,-12.58741283416748
1671230075.7434285,375,-23.33333396911621
1671230169.3358958,376,-47.3684196472168
1671230262.274361,377,-65.0793685913086
1671230352.066809,378,-27.835052490234375
1671230442.5652616,379,-27.272727966308594
1671230536.1937306,380,-72.22222137451172
1671230629.2217083,381,-48.79518127441406
1671230722.163173,382,-41.558441162109375
1671230815.023638,383,-50.98039245605469
1671230903.9900818,384,-11.764705657958984
1671230996.1565673,385,-64.70587921142578
1671231089.581032,386,-15.441176414489746
1671231182.2284963,387,26.760562896728516
1671231277.3219707,388,5.263157844543457
1671231369.5624335,389,-49.15254211425781
1671231460.5798883,390,-34.70790481567383
