Wall time,Step,Value
1671444880.6203964,0,-58.19935607910156
1671444898.3006108,1,-64.15770721435547
1671444916.3925576,2,-35.89743423461914
1671444934.1904447,3,-25.53191566467285
1671444952.11743,4,-12.087912559509277
1671444970.2209754,5,-33.130699157714844
1671444988.3425705,6,-26.573427200317383
1671445006.7019234,7,-55.32646179199219
1671445025.049624,8,-16.129032135009766
1671445043.5191462,9,-53.64238357543945
1671445061.5872974,10,-36.02693557739258
1671445079.6011584,11,-29.577465057373047
1671445097.6721137,12,-16.66666603088379
1671445116.409974,13,-31.81818199157715
1671445134.7599957,14,-21.146953582763672
1671445153.175681,15,-27.272727966308594
1671445171.5418708,16,-31.677019119262695
1671445189.9086175,17,10.29411792755127
1671445208.9179895,18,-53.125
1671445227.8106375,19,-57.37704849243164
1671445246.380603,20,-58.86075973510742
1671445264.7107847,21,-33.99340057373047
1671445283.0833495,22,-34.02777862548828
1671445301.573423,23,-26.199262619018555
1671445319.9637525,24,-20.577617645263672
1671445391.345659,25,-48.453609466552734
1671445410.5281434,26,-26.7515926361084
1671445428.8972912,27,-24.731182098388672
1671445447.7405744,28,-19.117647171020508
1671445466.486977,29,-10.394265174865723
1671445484.9769988,30,-37.704917907714844
1671445503.3218563,31,-16.66666603088379
1671445521.859099,32,-34.02777862548828
1671445540.2578173,33,-39.716312408447266
1671445558.7761106,34,-47.71241760253906
1671445577.2805138,35,-37.931034088134766
1671445595.572097,36,-18.819189071655273
1671445613.899631,37,-6.810035705566406
1671445631.9921737,38,-21.568628311157227
1671445650.5680556,39,-59.70695877075195
1671445668.9686184,40,-55.47945022583008
1671445687.318556,41,-59.501556396484375
1671445705.4571552,42,-53.23741149902344
1671445724.152762,43,-59.55882263183594
1671445742.7606354,44,-60.655738830566406
1671445760.8647592,45,-13.793103218078613
1671445778.8662205,46,-23.913043975830078
1671445796.9728599,47,-55.05617904663086
1671445814.9840798,48,-65.6357421875
1671445833.5562432,49,-76.2611312866211
1671445910.7465491,50,-67.94871520996094
1671445929.4838152,51,-8.450704574584961
1671445947.6243434,52,-1.6949152946472168
1671445966.9288933,53,-60.5734748840332
1671445985.4721513,54,18.243244171142578
1671446003.5219102,55,-33.55481719970703
1671446021.8759646,56,-70.47970581054688
1671446040.550655,57,-57.57575607299805
1671446058.829824,58,-20.415224075317383
1671446077.0800633,59,-54.09836196899414
1671446095.0491612,60,-28.82562255859375
1671446113.298565,61,-42.49201202392578
1671446131.5763338,62,-27.835052490234375
1671446150.254107,63,-62.3824462890625
1671446168.442062,64,-41.17647171020508
1671446186.7529945,65,-28.802589416503906
1671446205.6001098,66,-49.640289306640625
1671446223.7651522,67,-22.807018280029297
1671446241.7264519,68,-19.298246383666992
1671446259.9292107,69,-24.731182098388672
1671446278.27247,70,-42.85714340209961
1671446296.4196057,71,-62.328765869140625
1671446314.5270283,72,-18.727914810180664
1671446332.9895034,73,-20.415224075317383
1671446351.5097845,74,-47.19472122192383
1671446386.4337788,75,-52.8301887512207
1671446405.5658693,76,-32.51533889770508
1671446424.0855165,77,-43.57366943359375
1671446442.4735823,78,-58.04195785522461
1671446461.1529293,79,-30.069929122924805
1671446479.45864,80,-11.347517967224121
1671446498.7195036,81,-61.53845977783203
1671446516.8366547,82,-68.99224853515625
1671446535.1581542,83,-30.65693473815918
1671446553.8162267,84,-33.99340057373047
1671446572.6873527,85,-12.751677513122559
1671446591.1490257,86,-54.86111068725586
1671446610.3902183,87,-28.32764434814453
1671446628.4148905,88,-29.104476928710938
1671446647.2885678,89,-54.703834533691406
1671446665.754695,90,-24.39862632751465
1671446684.4060745,91,-27.272727966308594
1671446702.6695523,92,-39.06809997558594
1671446720.7113762,93,-13.72549057006836
1671446739.1433651,94,2.6615970134735107
1671446757.840295,95,-32.69230651855469
1671446776.6462617,96,11.11111068725586
1671446795.0284336,97,-28.82562255859375
1671446813.6052167,98,-18.3006534576416
1671446832.1649442,99,-31.27147674560547
1671446871.054401,100,-33.96226501464844
1671446890.1716526,101,-66.55518341064453
1671446908.8815422,102,-57.14285659790039
1671446927.7729702,103,-7.051281929016113
1671446946.3986816,104,-20.13888931274414
