Wall time,Step,Value
1671490487.02123,0,-59.375
1671490529.763069,1,-39.59731674194336
1671490570.1985402,2,39.09774398803711
1671490611.352662,3,-66.88742065429688
1671490652.865729,4,-23.8410587310791
1671490692.1433425,5,-23.72881317138672
1671490732.5410538,6,-3.3457248210906982
1671490773.2060006,7,-28.571428298950195
1671490813.7302978,8,-54.24836730957031
1671490853.6035697,9,-30.795846939086914
1671490893.3346112,10,-30.501930236816406
1671490934.6610203,11,-54.09836196899414
1671490975.481501,12,-30.921052932739258
1671491015.8625813,13,-51.14006423950195
1671491057.5409918,14,-32.25806427001953
1671491097.6232367,15,-54.24836730957031
1671491138.5156708,16,-16.08391571044922
1671491178.1815639,17,-36.56716537475586
1671491218.372811,18,-69.69696807861328
1671491258.576123,19,-35.3612174987793
1671491299.1853485,20,-67.15328216552734
1671491340.047792,21,-28.348909378051758
1671491380.2875962,22,-45.45454406738281
1671491421.894423,23,-12.58741283416748
1671491462.5135152,24,-55.128204345703125
1671491571.9479618,25,-30.46357536315918
1671491613.4901237,26,-40.76655197143555
1671491654.396733,27,-57.37704849243164
1671491691.85647,28,-20.3187255859375
1671491728.6854503,29,-34.64052200317383
1671491765.8778925,30,-52.978057861328125
1671491802.3319552,31,-13.533834457397461
1671491838.7841718,32,-50.354610443115234
1671491875.5891287,33,-33.33333206176758
1671491912.7366638,34,-55.17241287231445
1671491949.003193,35,-36.61971664428711
1671491985.6991503,36,-27.536231994628906
1671492023.2652657,37,-40.711463928222656
1671492060.2977672,38,-23.357664108276367
1671492097.4875062,39,-28.571428298950195
1671492136.8784363,40,-48.05194854736328
1671492178.5793607,41,-53.4161491394043
1671492219.6313324,42,-6.574394226074219
1671492260.0714426,43,-32.86219024658203
1671492299.457011,44,-52.68138885498047
1671492335.7086134,45,-26.056337356567383
1671492372.987571,46,-30.0
1671492409.8142598,47,-30.23255729675293
1671492447.2656968,48,-19.732440948486328
1671492484.544216,49,-66.9117660522461
1671492601.404798,50,-59.87654495239258
1671492639.604401,51,-15.384614944458008
1671492677.2232401,52,-41.558441162109375
1671492716.296058,53,-43.92523193359375
1671492753.8313484,54,-36.45484924316406
1671492795.030426,55,-41.63424301147461
1671492833.800571,56,-22.077922821044922
1671492872.4313667,57,-46.875
1671492909.3443742,58,-56.11285400390625
1671492948.8874724,59,-62.83783721923828
1671492987.1333082,60,-27.868852615356445
1671493025.8679855,61,-40.98360824584961
1671493063.959596,62,-64.02877807617188
1671493101.8474424,63,-18.08873748779297
1671493140.1333456,64,-25.795053482055664
1671493180.5304213,65,-27.63157844543457
1671493219.3347964,66,-38.709678649902344
1671493258.7273424,67,-33.56643295288086
1671493298.8452456,68,-43.50282669067383
1671493339.309387,69,-36.66666793823242
1671493380.1803572,70,-57.597171783447266
1671493419.7482812,71,1.4492753744125366
