Episode,NumOfEpisodes,Epsilon,lr,Reward,Frames
0, 3000, 1.0, 0.00025, -34.48, 325
1, 3000, 1.0, 0.00025, -34.85, 338
2, 3000, 0.999378, 0.00025, -15.25, 328
3, 3000, 0.998722, 0.00025, -41.54, 336
4, 3000, 0.99805, 0.00025, -61.90, 332
5, 3000, 0.997386, 0.00025, -15.44, 338
6, 3000, 0.99671, 0.00025, -63.93, 332
7, 3000, 0.996046, 0.00025, -61.54, 333
8, 3000, 0.99538, 0.00025, -41.58, 333
9, 3000, 0.994714, 0.00025, -53.57, 332
10, 3000, 0.99405, 0.00025, -63.93, 336
11, 3000, 0.993378, 0.00025, -37.50, 328
12, 3000, 0.992722, 0.00025, -23.88, 331
13, 3000, 0.99206, 0.00025, -33.99, 333
14, 3000, 0.991394, 0.00025, -52.98, 336
15, 3000, 0.990722, 0.00025, -15.79, 329
16, 3000, 0.990064, 0.00025, -34.71, 337
17, 3000, 0.98939, 0.00025, -21.43, 338
18, 3000, 0.988714, 0.00025, -20.29, 334
19, 3000, 0.988046, 0.00025, -33.10, 338
20, 3000, 0.98737, 0.00025, -16.94, 333
21, 3000, 0.986704, 0.00025, -27.01, 321
22, 3000, 0.986062, 0.00025, -31.82, 334
23, 3000, 0.985394, 0.00025, -71.01, 340
24, 3000, 0.984714, 0.00025, -16.96, 327
25, 3000, 0.98406, 0.00025, -30.56, 341
26, 3000, 0.983378, 0.00025, -41.18, 336
27, 3000, 0.982706, 0.00025, -21.64, 334
28, 3000, 0.982038, 0.00025, -15.49, 340
29, 3000, 0.981358, 0.00025, -24.59, 327
30, 3000, 0.980704, 0.00025, -41.67, 329
31, 3000, 0.980046, 0.00025, -39.02, 331
32, 3000, 0.979384, 0.00025, -32.20, 334
33, 3000, 0.978716, 0.00025, 0.69, 338
34, 3000, 0.97804, 0.00025, -70.97, 335
35, 3000, 0.97737, 0.00025, -51.85, 336
36, 3000, 0.976698, 0.00025, -56.20, 337
37, 3000, 0.976024, 0.00025, -28.81, 334
38, 3000, 0.975356, 0.00025, -37.04, 334
39, 3000, 0.974688, 0.00025, -15.13, 332
40, 3000, 0.974024, 0.00025, -33.96, 331
41, 3000, 0.973362, 0.00025, -71.43, 336
42, 3000, 0.97269, 0.00025, -73.33, 332
43, 3000, 0.9720260000000001, 0.00025, -49.66, 334
44, 3000, 0.9713579999999999, 0.00025, -64.66, 340
45, 3000, 0.970678, 0.00025, -68.31, 332
46, 3000, 0.970014, 0.00025, -64.05, 324
47, 3000, 0.969366, 0.00025, -59.56, 326
48, 3000, 0.968714, 0.00025, -21.77, 341
49, 3000, 0.968032, 0.00025, -48.63, 331
50, 3000, 0.96737, 0.00025, -70.91, 328
51, 3000, 0.966714, 0.00025, -24.24, 333
52, 3000, 0.966048, 0.00025, -12.55, 340
53, 3000, 0.965368, 0.00025, -22.56, 332
54, 3000, 0.964704, 0.00025, -34.26, 337
55, 3000, 0.9640299999999999, 0.00025, -62.33, 339
56, 3000, 0.963352, 0.00025, -38.31, 339
57, 3000, 0.962674, 0.00025, -56.66, 334
58, 3000, 0.962006, 0.00025, -30.82, 334
59, 3000, 0.961338, 0.00025, 34.33, 341
60, 3000, 0.960656, 0.00025, -55.41, 328
61, 3000, 0.96, 0.00025, -62.46, 338
62, 3000, 0.959324, 0.00025, -22.56, 328
63, 3000, 0.958668, 0.00025, -49.61, 327
64, 3000, 0.958014, 0.00025, -9.09, 350
65, 3000, 0.957314, 0.00025, -20.75, 330
66, 3000, 0.956654, 0.00025, -47.57, 340
67, 3000, 0.955974, 0.00025, -21.82, 330
68, 3000, 0.955314, 0.00025, -40.79, 335
69, 3000, 0.954644, 0.00025, -29.26, 337
70, 3000, 0.95397, 0.00025, -43.52, 339
71, 3000, 0.953292, 0.00025, -31.95, 335
72, 3000, 0.952622, 0.00025, -32.43, 332
73, 3000, 0.951958, 0.00025, -19.54, 327
74, 3000, 0.951304, 0.00025, -0.37, 333
75, 3000, 0.950638, 0.00025, -26.28, 340
76, 3000, 0.949958, 0.00025, -40.12, 337
77, 3000, 0.949284, 0.00025, -45.05, 330
78, 3000, 0.948624, 0.00025, -62.59, 334
79, 3000, 0.947956, 0.00025, -29.82, 333
80, 3000, 0.94729, 0.00025, -49.01, 329
81, 3000, 0.946632, 0.00025, -21.64, 324
82, 3000, 0.945984, 0.00025, -65.87, 331
83, 3000, 0.945322, 0.00025, -29.33, 335
84, 3000, 0.944652, 0.00025, -70.33, 331
85, 3000, 0.94399, 0.00025, -37.09, 330
86, 3000, 0.94333, 0.00025, -26.06, 325
87, 3000, 0.94268, 0.00025, -5.59, 335
88, 3000, 0.94201, 0.00025, -7.53, 331
89, 3000, 0.941348, 0.00025, -15.13, 339
90, 3000, 0.94067, 0.00025, 10.76, 328
91, 3000, 0.940014, 0.00025, -31.97, 336
92, 3000, 0.939342, 0.00025, -19.86, 332
93, 3000, 0.938678, 0.00025, -36.91, 324
94, 3000, 0.93803, 0.00025, -36.17, 325
95, 3000, 0.93738, 0.00025, -59.56, 328
96, 3000, 0.936724, 0.00025, -29.63, 333
97, 3000, 0.9360580000000001, 0.00025, -52.03, 332
98, 3000, 0.9353940000000001, 0.00025, -35.58, 336
99, 3000, 0.934722, 0.00025, -27.87, 329
100, 3000, 0.934064, 0.00025, -25.27, 333
101, 3000, 0.933398, 0.00025, -27.87, 340
102, 3000, 0.932718, 0.00025, -25.42, 336
103, 3000, 0.932046, 0.00025, -46.56, 331
104, 3000, 0.931384, 0.00025, -12.73, 326
105, 3000, 0.930732, 0.00025, -13.95, 327
106, 3000, 0.930078, 0.00025, 5.44, 329
