Wall time,Step,Value
1667832339.0964997,0,-42.30769348144531
1667832348.9594274,1,-7.051281929016113
1667832359.1419685,2,-3.225806474685669
1667832369.543467,3,-24.731182098388672
1667832379.830453,4,-39.10256576538086
1667832390.01733,5,-32.69230651855469
1667832400.483043,6,-24.731182098388672
1667832411.3026345,7,-64.74359130859375
1667832422.066161,8,-32.69230651855469
1667832432.7155805,9,-23.076923370361328
1667832443.3228626,10,-32.69230651855469
1667832453.8516695,11,-35.89743423461914
1667832464.3009431,12,-27.586206436157227
1667832474.885397,13,-32.69230651855469
1667832485.3920906,14,-46.2365608215332
1667832496.2447495,15,-61.53845977783203
1667832506.9878526,16,-21.146953582763672
1667832517.5034292,17,3.9426522254943848
1667832528.018712,18,-60.5734748840332
1667832538.4454675,19,-39.06809997558594
1667832549.0530546,20,-46.2365608215332
1667832559.7152557,21,-31.034482955932617
1667832570.5554564,22,-41.379310607910156
1667832581.1758447,23,-3.4482758045196533
1667832592.6440773,24,-32.69230651855469
1667832672.303225,25,-24.13793182373047
1667832683.2802646,26,-17.56272315979004
1667832694.033325,27,-61.53845977783203
1667832704.4485297,28,-31.034482955932617
1667832715.16192,29,-32.69230651855469
1667832726.0684783,30,-41.379310607910156
1667832736.9571512,31,-31.899641036987305
1667832747.8204787,32,-6.810035705566406
1667832758.8152728,33,-17.56272315979004
1667832769.6671526,34,-35.48387145996094
1667832780.5082405,35,-39.10256576538086
1667832791.6414664,36,-39.10256576538086
1667832802.4880195,37,-28.315412521362305
1667832813.1904259,38,-31.034482955932617
1667832823.642949,39,-35.48387145996094
1667832834.4346447,40,-27.586206436157227
1667832845.5445244,41,-39.10256576538086
1667832856.6096482,42,-27.586206436157227
1667832867.60052,43,-24.731182098388672
1667832879.1123352,44,-26.28205108642578
1667832891.347965,45,-44.82758712768555
1667832902.5118701,46,-6.896551609039307
1667832913.4435525,47,-27.586206436157227
1667832924.0195649,48,-34.482757568359375
1667832934.8243952,49,-26.28205108642578
1667833032.9477618,50,-55.17241287231445
1667833043.848119,51,-32.69230651855469
1667833054.5412333,52,-13.793103218078613
1667833064.9937687,53,-31.899641036987305
1667833076.0657885,54,36.20071792602539
1667833086.768029,55,7.526881694793701
1667833097.6043677,56,-26.28205108642578
1667833108.5332556,57,-55.128204345703125
1667833119.3966243,58,-28.315412521362305
1667833130.012802,59,-28.315412521362305
1667833140.713935,60,-27.586206436157227
1667833151.5871732,61,-60.5734748840332
1667833163.3340185,62,-34.482757568359375
1667833175.0211205,63,-68.96551513671875
1667833186.5187197,64,-64.74359130859375
1667833197.3210614,65,-24.13793182373047
1667833209.2958786,66,-58.620689392089844
1667833220.68212,67,-35.89743423461914
1667833232.1662023,68,-45.512821197509766
1667833244.1826808,69,-23.076923370361328
1667833255.275642,70,-24.13793182373047
1667833266.9281273,71,-23.076923370361328
1667833278.2295406,72,-21.146953582763672
1667833289.6686614,73,-27.586206436157227
1667833301.105339,74,-64.74359130859375
1667833393.4714346,75,-32.69230651855469
1667833404.3874414,76,-37.931034088134766
1667833415.3597167,77,-42.65232849121094
1667833426.2821426,78,-17.56272315979004
1667833436.9994173,79,-41.379310607910156
1667833447.8305676,80,-17.56272315979004
1667833458.339162,81,-51.72413635253906
1667833469.1267006,82,-48.71794891357422
1667833479.929903,83,-37.931034088134766
1667833491.3333066,84,-3.4482758045196533
1667833504.2671697,85,-62.068965911865234
1667833516.3656685,86,-53.4050178527832
1667833528.5345147,87,-51.72413635253906
1667833540.5344255,88,-10.256410598754883
1667833552.6658998,89,-26.28205108642578
1667833565.4108737,90,-35.48387145996094
1667833577.3204849,91,-19.871795654296875
1667833589.4580076,92,-23.076923370361328
1667833601.4477594,93,-31.034482955932617
1667833613.4019146,94,-24.13793182373047
1667833625.7885742,95,-27.586206436157227
1667833637.9271996,96,-13.978494644165039
1667833650.206637,97,-48.71794891357422
1667833662.3331885,98,-48.27586364746094
1667833675.4502463,99,-29.487178802490234
1667833794.3448865,100,-21.146953582763672
1667833805.3301897,101,-13.978494644165039
1667833815.9772544,102,-24.731182098388672
1667833826.5720758,103,-55.17241287231445
1667833837.5611095,104,-29.487178802490234
1667833848.6030583,105,-31.899641036987305
1667833859.1946225,106,-28.315412521362305
1667833870.2635484,107,-68.96551513671875
1667833881.6043556,108,-39.10256576538086
1667833892.3878777,109,-21.146953582763672
1667833903.6806605,110,-24.13793182373047
1667833914.889948,111,-71.32616424560547
1667833925.8518019,112,-58.620689392089844
1667833936.9382558,113,-23.076923370361328
1667833947.976858,114,-24.731182098388672
1667833958.5448272,115,-49.8207893371582
1667833969.5234687,116,-26.28205108642578
1667833980.9184904,117,-26.28205108642578
1667833991.8745146,118,-2.9531932455029164e-14
1667834002.9751964,119,-27.586206436157227
1667834013.9398055,120,-67.74193572998047
1667834024.8562098,121,-13.978494644165039
1667834035.5630884,122,-28.315412521362305
1667834046.3545246,123,7.526881694793701
1667834057.0210092,124,-31.034482955932617
1667834137.4261358,125,-61.53845977783203
1667834148.428176,126,-17.241378784179688
1667834158.7400334,127,-51.72413635253906
1667834169.3177047,128,-21.146953582763672
1667834180.1157906,129,-67.94871520996094
1667834190.725936,130,-51.92307662963867
1667834201.120541,131,-21.146953582763672
1667834211.9603555,132,-29.487178802490234
