Wall time,Step,Value
1668508862.2146165,2,500.0
1668508880.281356,3,500.0
1668508907.2566469,4,500.0
1668508925.5771549,5,500.0
1668508950.086461,6,500.0
1668508968.3435292,7,500.0
1668508992.7325919,8,500.0
1668509010.6127288,9,500.0
1668509035.448871,10,500.0
1668509053.287023,11,500.0
1668509078.492743,12,500.0
1668509096.855365,13,500.0
1668509118.9550707,14,500.0
1668509134.1722684,15,500.0
1668509150.6369405,16,500.0
1668509167.3361528,17,500.0
1668509183.6637897,18,466.0
1668509200.3428545,19,500.0
1668509217.8105805,20,500.0
1668509234.5292747,21,500.0
1668509249.2289503,22,500.0
1668509265.6945589,23,500.0
1668509280.3261538,24,500.0
1668509296.2082164,25,500.0
1668509316.557292,26,500.0
1668509331.306441,27,500.0
1668509353.3792465,28,500.0
1668509371.0378911,29,500.0
1668509396.1142282,30,500.0
1668509415.073413,31,500.0
1668509440.741929,32,500.0
1668509459.874196,33,500.0
1668509485.6817694,34,500.0
1668509502.028511,35,500.0
1668509522.3202376,36,500.0
1668509539.2928684,37,500.0
1668509565.039172,38,500.0
1668509584.4474328,39,500.0
1668509610.5053215,40,500.0
1668509626.1995137,41,500.0
1668509644.9576495,42,500.0
1668509667.7834077,43,500.0
1668509686.3819036,44,500.0
1668509711.0846226,45,500.0
1668509729.5768435,46,500.0
1668509754.3146772,47,500.0
1668509772.3525028,48,500.0
1668509797.0812595,49,500.0
1668509815.351942,50,500.0
1668509840.2727184,51,500.0
1668509858.5573275,52,500.0
1668509878.5364578,53,500.0
1668509896.7781124,54,500.0
1668509922.0933986,55,500.0
1668509940.3346288,56,500.0
1668509963.5663085,57,441.0
1668509982.222947,58,500.0
1668510000.4186034,59,311.0
1668510014.9902318,60,500.0
1668510040.2704425,61,500.0
1668510058.4352238,62,500.0
1668510075.9334412,63,500.0
1668510091.3207479,64,500.0
1668510110.3155015,65,500.0
1668510130.154212,66,500.0
1668510149.1448452,67,500.0
1668510167.943052,68,321.0
1668510185.5088234,69,467.0
1668510207.1169887,70,383.0
1668510223.3343232,71,500.0
1668510242.03117,72,500.0
1668510260.1890583,73,500.0
1668510278.7366822,74,500.0
1668510293.2388053,75,500.0
1668510312.742103,76,500.0
1668510329.452232,77,500.0
1668510348.6935313,78,500.0
1668510365.4417708,79,500.0
1668510381.1409326,80,500.0
1668510397.6246455,81,500.0
1668510415.1828322,82,500.0
1668510437.403494,83,396.0
1668510456.7108994,84,500.0
1668510481.4939067,85,500.0
1668510499.9206185,86,500.0
1668510518.9173098,87,342.0
1668510537.03891,88,500.0
1668510558.453654,89,392.0
1668510577.9219313,90,500.0
1668510597.5860713,91,500.0
1668510623.3354168,92,500.0
1668510642.1431186,93,500.0
1668510668.1535697,94,500.0
1668510687.9864194,95,500.0
1668510713.4648843,96,500.0
1668510726.5744798,97,352.0
1668510750.669156,98,463.0
1668510766.4553947,99,428.0
1668510792.2970846,100,500.0
1668510810.737401,101,500.0
1668510836.3005672,102,500.0
1668510855.580767,103,500.0
1668510881.5579534,104,500.0
1668510899.754073,105,500.0
1668510917.588036,106,500.0
1668510935.8464406,107,500.0
1668510948.4600596,108,348.0
1668510966.9391384,109,446.0
1668510978.917818,110,343.0
1668510998.3739913,111,351.0
1668511011.2530947,112,500.0
1668511029.1072204,113,500.0
1668511047.1426327,114,303.0
1668511062.5772045,115,500.0
