Wall time,Step,Value
1668158153.3023555,1,1000.0
1668158209.2260134,2,1000.0
1668158262.1013393,3,1000.0
1668158331.2191522,1,615.0
1668158384.8734765,2,1000.0
1668158418.583783,3,655.0
1668158470.4083285,4,1000.0
1668158496.5328348,5,499.0
1668158548.4422355,6,1000.0
1668158601.309684,7,1000.0
1668158652.4084938,8,1000.0
1668158704.3286285,9,1000.0
1668158757.2195566,10,1000.0
1668158810.2991393,11,1000.0
1668158863.8269944,12,988.0
1668158917.27519,13,1000.0
1668158968.690976,14,1000.0
1668159000.327941,15,617.0
1668159043.700021,16,842.0
1668159069.6427343,17,484.0
1668159121.8880765,18,1000.0
1668159174.072026,19,1000.0
1668159225.846869,20,1000.0
1668159278.0507703,21,1000.0
1668159331.6560173,22,1000.0
1668159384.8360062,23,1000.0
1668159435.143641,24,971.0
1668159486.923811,25,1000.0
1668159520.9863408,26,646.0
1668159573.0912442,27,1000.0
1668159636.6869848,28,1000.0
1668159704.902635,29,1000.0
1668159772.8801332,30,1000.0
1668159826.48745,31,783.0
1668159895.037332,32,1000.0
1668159963.2113445,33,1000.0
1668160033.6916926,34,1000.0
1668160073.592948,35,585.0
1668160141.1337438,36,1000.0
1668160167.3379323,37,389.0
1668160235.4914722,38,1000.0
1668160303.3205411,39,1000.0
1668160343.4282,40,588.0
1668160412.4224422,41,1000.0
1668160480.4441202,42,1000.0
1668160548.2732759,43,1000.0
1668160616.1286435,44,1000.0
1668160684.0433211,45,1000.0
1668160752.0304735,46,1000.0
1668160820.2726116,47,1000.0
1668160888.77527,48,1000.0
1668160956.995524,49,1000.0
1668161045.5977418,50,824.0
1668161123.314183,51,1000.0
1668161191.1287816,52,1000.0
1668161239.5483694,53,717.0
1668161306.9975197,54,1000.0
1668161375.2662807,55,1000.0
1668161444.421312,56,1000.0
1668161512.3608818,57,1000.0
1668161554.5279403,58,624.0
1668161622.0071821,59,1000.0
1668161691.5647526,60,1000.0
1668161759.8203397,61,1000.0
1668161828.476533,62,1000.0
1668161896.4100683,63,1000.0
1668161944.3659337,64,708.0
1668162012.4412968,65,1000.0
1668162080.1778727,66,1000.0
1668162136.6871393,67,829.0
1668162204.6057885,68,1000.0
1668162272.3094592,69,1000.0
1668162339.8643103,70,1000.0
1668162382.2202623,71,631.0
1668162450.2503157,72,1000.0
1668162518.662218,73,1000.0
1668162586.1239052,74,1000.0
1668162653.8986096,75,1000.0
1668162721.4757307,76,1000.0
1668162756.8500018,77,522.0
1668162825.0376017,78,1000.0
1668162882.798389,79,855.0
1668162951.0218143,80,1000.0
1668163018.5383801,81,1000.0
1668163070.3599389,82,764.0
1668163138.3398156,83,1000.0
1668163194.0081587,84,770.0
1668163261.6154265,85,1000.0
1668163328.3700962,86,1000.0
1668163395.4098358,87,1000.0
1668163462.3670633,88,1000.0
1668163476.9971125,89,218.0
1668163543.9463615,90,1000.0
1668163604.901568,91,906.0
1668163662.2137659,92,845.0
1668163729.088385,93,1000.0
1668163795.8316119,94,1000.0
1668163857.3298204,95,921.0
1668163924.1560478,96,1000.0
1668163990.8036268,97,1000.0
1668164057.6258523,98,1000.0
1668164112.2383006,99,815.0
1668164193.9210641,100,698.0
1668164242.3690386,101,716.0
1668164309.73905,102,1000.0
1668164376.4661572,103,1000.0
1668164443.4879298,104,1000.0
1668164475.4274602,105,473.0
1668164515.310218,106,589.0
1668164583.0293546,107,1000.0
1668164650.4684274,108,1000.0
1668164718.251857,109,1000.0
1668164786.3109183,110,1000.0
1668164854.176305,111,1000.0
1668164922.6562061,112,1000.0
1668164991.2398016,113,1000.0
1668165059.5728638,114,1000.0
1668165128.3730872,115,1000.0
1668165196.56325,116,1000.0
1668165265.634844,117,1000.0
1668165334.7679913,118,1000.0
1668165403.805869,119,1000.0
1668165472.785676,120,1000.0
1668165541.8503883,121,1000.0
1668165609.7608838,122,1000.0
1668165678.2925472,123,1000.0
1668165747.1730766,124,1000.0
1668165815.1246324,125,1000.0
1668165882.8967452,126,1000.0
1668165951.1502542,127,1000.0
1668166019.1513255,128,1000.0
1668166089.1013093,129,1000.0
1668166157.9254456,130,1000.0
1668166227.2636697,131,1000.0
1668166295.959078,132,1000.0
1668166364.1592648,133,1000.0
1668166432.6018815,134,1000.0
1668166498.9972484,135,964.0
1668166533.1558185,136,491.0
1668166602.572251,137,1000.0
1668166673.1417048,138,1000.0
1668166696.6666367,139,338.0
1668166765.5470977,140,1000.0
1668166833.9641395,141,1000.0
1668166902.4501457,142,1000.0
1668166970.598825,143,1000.0
1668167038.8184388,144,1000.0
1668167107.6861176,145,1000.0
1668167177.2835877,146,1000.0
1668167246.6016183,147,1000.0
1668167315.1856115,148,1000.0
1668167384.0710785,149,1000.0
1668167485.2216778,150,1000.0
1668167553.8310664,151,1000.0
1668167623.0164714,152,1000.0
1668167691.6557195,153,1000.0
1668167760.4131644,154,1000.0
1668167829.9954078,155,1000.0
1668167898.91613,156,1000.0
1668167966.9887598,157,1000.0
1668168035.495473,158,1000.0
1668168104.1690369,159,1000.0
1668168173.1342747,160,1000.0
1668168242.5279925,161,1000.0
1668168310.9314108,162,1000.0
1668168379.7690787,163,1000.0
1668168448.9541671,164,1000.0
1668168518.2081423,165,1000.0
1668168587.450212,166,1000.0
1668168656.0078943,167,1000.0
1668168725.356394,168,1000.0
1668168794.514091,169,1000.0
1668168864.3326557,170,1000.0
1668168933.3541636,171,1000.0
1668169002.14641,172,1000.0
1668169071.176402,173,1000.0
1668169140.1100607,174,1000.0
1668169208.5584142,175,1000.0
1668169278.9077663,176,1000.0
1668169347.5428119,177,1000.0
1668169416.981087,178,1000.0
1668169486.2929075,179,1000.0
1668169555.2205207,180,1000.0
1668169624.1050282,181,1000.0
1668169692.8365302,182,1000.0
1668169761.7482247,183,1000.0
1668169830.5020335,184,1000.0
1668169899.3716495,185,1000.0
1668169968.275458,186,1000.0
1668170036.491838,187,1000.0
1668170104.7952769,188,1000.0
1668170173.2710075,189,1000.0
1668170242.3865373,190,1000.0
1668170310.517403,191,1000.0
1668170379.1546197,192,1000.0
1668170448.971544,193,1000.0
1668170518.1226876,194,1000.0
1668170586.728223,195,1000.0
1668170655.9373918,196,1000.0
1668170724.4034836,197,1000.0
1668170792.9605086,198,1000.0
1668170862.6609476,199,1000.0
1668170965.7414641,200,1000.0
1668171034.5928614,201,1000.0
1668171103.9759634,202,1000.0
